,Geographic Area Name,State,Total Population,Population per square kilometer (Population Density),Population 65 Years and Over,Percent of Population that is 65 Years and Over,Percentage of people whose income in the past 12 months is below the poverty level
1662,Buffalo County,Nebraska,49030,19.5519431720854,6636,13.5,14.1
1663,Burt County,Nebraska,6528,5.12723303791358,1556,23.8,11.7
1664,Butler County,Nebraska,8067,5.32515098283345,1629,20.2,7.5
1665,Cass County,Nebraska,25702,17.8048770287589,4251,16.5,6.4
1666,Cedar County,Nebraska,8523,4.44549923790723,1795,21.1,9.1
1667,Chase County,Nebraska,3734,1.61189125278363,835,22.4,8.4
1668,Cherry County,Nebraska,5790,0.375076077963537,1224,21.1,10.5
1669,Cheyenne County,Nebraska,9852,3.17973873678606,1766,17.9,10.0
1670,Clay County,Nebraska,6232,4.20449580583597,1220,19.6,11.4
1671,Colfax County,Nebraska,10760,10.0922905170012,1336,12.4,12.4
1672,Cuming County,Nebraska,8991,6.08465230596053,1938,21.6,7.0
1673,Custer County,Nebraska,10830,1.62350383541808,2343,21.6,11.2
1674,Dakota County,Nebraska,20317,29.684874810546,2619,12.9,16.6
1675,Dawes County,Nebraska,8896,2.45958142146636,1577,17.7,14.4
1676,Dawson County,Nebraska,23804,9.07203621083664,3658,15.4,13.1
1677,Deuel County,Nebraska,1894,1.66255713091417,465,24.6,10.2
1678,Dixon County,Nebraska,5746,4.65972492161369,1127,19.6,12.5
1679,Dodge County,Nebraska,36683,26.7706484394887,6876,18.7,13.7
1680,Douglas County,Nebraska,554992,656.484639494118,68170,12.3,12.7
1681,Dundy County,Nebraska,2023,0.849301948379989,403,19.9,10.3
1682,Fillmore County,Nebraska,5574,3.74043053727109,1298,23.3,10.0
1683,Franklin County,Nebraska,3006,2.01561550842735,796,26.5,13.8
1684,Frontier County,Nebraska,2609,1.03356072085152,649,24.9,10.3
1685,Furnas County,Nebraska,4786,2.56960606739551,1144,23.9,10.9
1686,Gage County,Nebraska,21595,9.79242862750191,4399,20.4,9.8
1687,Garden County,Nebraska,1860,0.421092293754498,483,26.0,9.1
1688,Garfield County,Nebraska,1975,1.33938409513559,558,28.3,7.5
1689,Gosper County,Nebraska,2015,1.69810587211778,507,25.2,5.1
1690,Grant County,Nebraska,718,0.356844403233345,159,22.1,19.9
1691,Greeley County,Nebraska,2410,1.63300795150737,603,25.0,9.5
1692,Hall County,Nebraska,61343,43.3474635102023,8815,14.4,13.0
1693,Hamilton County,Nebraska,9178,6.53932354132214,1740,19.0,4.9
1694,Harlan County,Nebraska,3438,2.39837380879922,858,25.0,11.2
1695,Hayes County,Nebraska,943,0.510607003899133,171,18.1,12.4
1696,Hitchcock County,Nebraska,2843,1.54616519453113,704,24.8,12.7
1697,Holt County,Nebraska,10245,1.63970399411138,2173,21.2,8.4
1698,Hooker County,Nebraska,691,0.369954721669927,226,32.7,17.0
1699,Howard County,Nebraska,6405,4.34361427159064,1349,21.1,10.5
1700,Jefferson County,Nebraska,7188,4.86749085015327,1665,23.2,12.0
1701,Johnson County,Nebraska,5197,5.33560115033384,948,18.2,9.4
1702,Kearney County,Nebraska,6552,4.90029067362028,1250,19.1,10.6
1703,Keith County,Nebraska,8099,2.94559231852661,2143,26.5,11.7
1704,Keya Paha County,Nebraska,792,0.395553505926919,184,23.2,6.1
1705,Kimball County,Nebraska,3667,1.48746439864802,896,24.4,9.5
1706,Knox County,Nebraska,8460,2.9468558549844,2043,24.1,10.9
1707,Lancaster County,Nebraska,310094,142.947394477437,40421,13.0,13.1
1708,Lincoln County,Nebraska,35433,5.33543314668161,6471,18.3,12.2
1709,Logan County,Nebraska,886,0.599457131216018,172,19.4,7.9
1710,Loup County,Nebraska,585,0.400818444954463,169,28.9,8.2
1711,McPherson County,Nebraska,454,0.204069378950085,100,22.0,17.0
1712,Madison County,Nebraska,35164,23.7100431637209,5384,15.3,15.8
1713,Merrick County,Nebraska,7803,6.20097582459099,1548,19.8,10.6
1714,Morrill County,Nebraska,4841,1.31273476355259,976,20.2,8.7
1715,Nance County,Nebraska,3554,3.1071153203989,714,20.1,11.3
1716,Nemaha County,Nebraska,7004,6.63822944204127,1357,19.4,12.4
1717,Nuckolls County,Nebraska,4275,2.86981090350074,1145,26.8,12.2
1718,Otoe County,Nebraska,15896,9.96888388117061,3015,19.0,11.2
1719,Pawnee County,Nebraska,2676,2.39682247547942,733,27.4,15.6
1720,Perkins County,Nebraska,2907,1.27063746410747,659,22.7,5.5
1721,Phelps County,Nebraska,9120,6.5233784931424,1804,19.8,8.8
1722,Pierce County,Nebraska,7157,4.82047882841994,1323,18.5,7.3
1723,Platte County,Nebraska,33063,18.9373963709792,5585,16.9,8.3
1724,Polk County,Nebraska,5255,4.62869233044293,1109,21.1,7.8
1725,Red Willow County,Nebraska,10806,5.81894875039885,2113,19.6,9.7
1726,Richardson County,Nebraska,8009,5.60359394491297,1903,23.8,13.2
1727,Rock County,Nebraska,1350,0.516950977246272,367,27.2,7.4
1728,Saline County,Nebraska,14288,9.60982096368844,2027,14.2,13.5
1729,Sarpy County,Nebraska,178351,289.149894802232,19582,11.0,5.4
1730,Saunders County,Nebraska,21024,10.8190627606384,3744,17.8,8.4
1731,Scotts Bluff County,Nebraska,36255,18.9313308782629,6687,18.4,13.4
1732,Seward County,Nebraska,17127,11.5723311541851,2853,16.7,7.5
1733,Sheridan County,Nebraska,5234,0.827895093745511,1314,25.1,18.0
1734,Sherman County,Nebraska,3042,2.07575732093524,795,26.1,11.4
1735,Sioux County,Nebraska,1266,0.236515050802556,276,21.8,10.7
1736,Stanton County,Nebraska,5992,5.41038032263963,994,16.6,8.8
1737,Thayer County,Nebraska,5098,3.43033265513656,1278,25.1,8.4
1738,Thomas County,Nebraska,645,0.34932772191334,144,22.3,10.7
1739,Thurston County,Nebraska,7140,7.00427630982834,861,12.1,28.3
1740,Valley County,Nebraska,4224,2.87072990488744,1031,24.4,10.6
1741,Washington County,Nebraska,20219,20.0191076089956,3471,17.2,8.1
1742,Wayne County,Nebraska,9367,8.1654747626223,1418,15.1,14.2
