,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020
594,77,19,Guthrie,Iowa,25.0
595,79,19,Hamilton,Iowa,25.0
596,81,19,Hancock,Iowa,25.0
597,83,19,Hardin,Iowa,35.0
598,85,19,Harrison,Iowa,25.0
599,87,19,Henry,Iowa,74.0
600,89,19,Howard,Iowa,19.0
601,93,19,Ida,Iowa,25.0
602,95,19,Iowa,Iowa,25.0
603,97,19,Jackson,Iowa,25.0
604,99,19,Jasper,Iowa,68.0
605,101,19,Jefferson,Iowa,25.0
606,103,19,Johnson,Iowa,1430.0
607,105,19,Jones,Iowa,22.0
608,109,19,Kossuth,Iowa,25.0
609,111,19,Lee,Iowa,121.0
610,113,19,Linn,Iowa,994.0
611,117,19,Lucas,Iowa,25.0
612,121,19,Madison,Iowa,25.0
613,123,19,Mahaska,Iowa,33.0
614,125,19,Marion,Iowa,50.0
615,127,19,Marshall,Iowa,125.0
616,133,19,Monona,Iowa,25.0
617,135,19,Monroe,Iowa,25.0
618,137,19,Montgomery,Iowa,25.0
619,139,19,Muscatine,Iowa,48.0
620,141,19,O'Brien,Iowa,39.0
621,143,19,Osceola,Iowa,25.0
622,145,19,Page,Iowa,50.0
623,147,19,Palo Alto,Iowa,47.0
624,149,19,Plymouth,Iowa,25.0
625,153,19,Polk,Iowa,1591.0
626,155,19,Pottawattamie,Iowa,514.0
627,157,19,Poweshiek,Iowa,49.0
628,159,19,Ringgold,Iowa,16.0
629,163,19,Scott,Iowa,641.0
630,165,19,Shelby,Iowa,25.0
631,167,19,Sioux,Iowa,96.0
632,169,19,Story,Iowa,237.0
633,175,19,Union,Iowa,25.0
634,177,19,Van Buren,Iowa,25.0
635,179,19,Wapello,Iowa,217.0
636,183,19,Washington,Iowa,25.0
637,185,19,Wayne,Iowa,25.0
638,187,19,Webster,Iowa,200.0
639,191,19,Winneshiek,Iowa,25.0
640,193,19,Woodbury,Iowa,830.0
641,197,19,Wright,Iowa,47.0
642,1,20,Allen,Kansas,25.0
643,3,20,Anderson,Kansas,12.0
644,5,20,Atchison,Kansas,25.0
645,7,20,Barber,Kansas,10.0
646,9,20,Barton,Kansas,56.0
647,13,20,Brown,Kansas,25.0
648,15,20,Butler,Kansas,126.0
649,19,20,Chautauqua,Kansas,25.0
650,23,20,Cheyenne,Kansas,16.0
651,25,20,Clark,Kansas,25.0
652,27,20,Clay,Kansas,25.0
653,29,20,Cloud,Kansas,25.0
654,31,20,Coffey,Kansas,25.0
655,33,20,Comanche,Kansas,12.0
656,35,20,Cowley,Kansas,74.0
657,37,20,Crawford,Kansas,100.0
658,41,20,Dickinson,Kansas,50.0
659,45,20,Douglas,Kansas,148.0
660,47,20,Edwards,Kansas,12.0
661,51,20,Ellis,Kansas,194.0
662,53,20,Ellsworth,Kansas,20.0
663,55,20,Finney,Kansas,100.0
664,57,20,Ford,Kansas,99.0
665,59,20,Franklin,Kansas,44.0
666,61,20,Geary,Kansas,92.0
667,63,20,Gove,Kansas,21.0
668,65,20,Graham,Kansas,20.0
669,67,20,Grant,Kansas,26.0
670,71,20,Greeley,Kansas,18.0
671,73,20,Greenwood,Kansas,25.0
672,75,20,Hamilton,Kansas,25.0
673,79,20,Harvey,Kansas,103.0
674,83,20,Hodgeman,Kansas,50.0
675,85,20,Jackson,Kansas,12.0
676,87,20,Jefferson,Kansas,25.0
677,89,20,Jewell,Kansas,25.0
678,91,20,Johnson,Kansas,1584.0
679,93,20,Kearny,Kansas,25.0
680,95,20,Kingman,Kansas,25.0
681,99,20,Labette,Kansas,99.0
682,103,20,Leavenworth,Kansas,304.0
683,111,20,Lyon,Kansas,25.0
684,113,20,McPherson,Kansas,95.0
685,115,20,Marion,Kansas,25.0
686,119,20,Meade,Kansas,20.0
687,121,20,Miami,Kansas,39.0
688,123,20,Mitchell,Kansas,25.0
689,125,20,Montgomery,Kansas,47.0
690,127,20,Morris,Kansas,25.0
