,CNTY_FIPS,STATE_FIPS,COUNTY_NAME,STATE_NAME,05/24/2020,05/25/2020
413,57,16,Latah,Idaho,2.0,2.0
414,59,16,Lemhi,Idaho,1.0,1.0
415,65,16,Madison,Idaho,2.0,2.0
416,69,16,Nez Perce,Idaho,4.0,4.0
417,83,16,Twin Falls,Idaho,4.0,4.0
418,1,17,Adams,Illinois,10.0,10.0
419,5,17,Bond,Illinois,2.0,2.0
420,11,17,Bureau,Illinois,1.5,1.5
421,19,17,Champaign,Illinois,6.5,6.5
422,21,17,Christian,Illinois,2.0,2.0
423,25,17,Clay,Illinois,2.0,2.0
424,27,17,Clinton,Illinois,2.0,2.0
425,29,17,Coles,Illinois,3.0,3.0
426,31,17,Cook,Illinois,8.956521739130435,8.956521739130435
427,33,17,Crawford,Illinois,2.0,2.0
428,37,17,DeKalb,Illinois,3.0,3.0
429,39,17,De Witt,Illinois,0.0,0.0
430,43,17,DuPage,Illinois,8.333333333333334,8.333333333333334
431,49,17,Effingham,Illinois,2.0,2.0
432,53,17,Ford,Illinois,2.0,2.0
433,57,17,Fulton,Illinois,2.0,2.0
434,61,17,Greene,Illinois,0.0,0.0
435,63,17,Grundy,Illinois,2.0,2.0
436,65,17,Hamilton,Illinois,2.0,2.0
437,69,17,Hardin,Illinois,0.0,0.0
438,73,17,Henry,Illinois,1.5,1.5
439,75,17,Iroquois,Illinois,2.0,2.0
440,77,17,Jackson,Illinois,3.0,3.0
441,81,17,Jefferson,Illinois,5.0,5.0
442,83,17,Jersey,Illinois,2.0,2.0
443,85,17,Jo Daviess,Illinois,0.0,0.0
444,89,17,Kane,Illinois,6.4,6.4
445,91,17,Kankakee,Illinois,10.0,10.0
446,95,17,Knox,Illinois,3.5,3.5
447,97,17,Lake,Illinois,3.7142857142857135,3.7142857142857144
448,99,17,LaSalle,Illinois,1.6666666666666667,1.6666666666666667
449,101,17,Lawrence,Illinois,1.0,1.0
450,103,17,Lee,Illinois,3.0,3.0
451,105,17,Livingston,Illinois,2.0,2.0
452,107,17,Logan,Illinois,2.0,2.0
453,109,17,McDonough,Illinois,2.0,2.0
454,111,17,McHenry,Illinois,5.5,5.5
455,113,17,McLean,Illinois,3.0,3.0
456,115,17,Macon,Illinois,6.5,6.5
457,117,17,Macoupin,Illinois,1.5,1.5
458,119,17,Madison,Illinois,2.6,2.6
459,121,17,Marion,Illinois,3.0,3.0
460,125,17,Mason,Illinois,1.0,1.0
461,135,17,Montgomery,Illinois,2.0,2.0
462,137,17,Morgan,Illinois,3.0,3.0
463,141,17,Ogle,Illinois,1.0,1.0
464,143,17,Peoria,Illinois,8.0,8.0
465,145,17,Perry,Illinois,1.0,1.0
466,147,17,Piatt,Illinois,1.0,1.0
467,149,17,Pike,Illinois,1.0,1.0
468,157,17,Randolph,Illinois,1.3333333333333333,1.3333333333333333
469,159,17,Richland,Illinois,2.0,2.0
470,161,17,Rock Island,Illinois,4.0,4.0
471,163,17,St. Clair,Illinois,5.333333333333333,5.333333333333333
472,165,17,Saline,Illinois,1.5,1.5
473,167,17,Sangamon,Illinois,13.0,13.0
474,169,17,Schuyler,Illinois,0.0,0.0
475,173,17,Shelby,Illinois,2.0,2.0
476,177,17,Stephenson,Illinois,4.0,4.0
477,179,17,Tazewell,Illinois,2.5,2.5
478,181,17,Union,Illinois,2.0,2.0
479,183,17,Vermilion,Illinois,2.0,2.0
480,45,17,Edgar,Illinois,1.0,1.0
481,185,17,Wabash,Illinois,1.0,1.0
482,187,17,Warren,Illinois,1.0,1.0
483,191,17,Wayne,Illinois,2.0,2.0
484,195,17,Whiteside,Illinois,2.0,2.0
485,197,17,Will,Illinois,9.333333333333334,9.333333333333334
486,199,17,Williamson,Illinois,3.0,3.0
487,201,17,Winnebago,Illinois,5.666666666666668,5.666666666666667
488,203,17,Woodford,Illinois,1.0,1.0
489,1,18,Adams,Indiana,2.0,2.0
490,3,18,Allen,Indiana,6.166666666666668,6.166666666666667
491,5,18,Bartholomew,Indiana,7.0,7.0
492,9,18,Blackford,Indiana,2.0,2.0
493,11,18,Boone,Indiana,2.0,2.0
494,17,18,Cass,Indiana,3.0,3.0
495,19,18,Clark,Indiana,5.0,5.0
496,21,18,Clay,Indiana,1.0,1.0
497,23,18,Clinton,Indiana,2.0,2.0
498,27,18,Daviess,Indiana,2.0,2.0
499,29,18,Dearborn,Indiana,3.0,3.0
500,31,18,Decatur,Indiana,2.0,2.0
501,33,18,DeKalb,Indiana,3.0,3.0
502,35,18,Delaware,Indiana,22.0,22.0
503,37,18,Dubois,Indiana,3.0,3.0
504,39,18,Elkhart,Indiana,4.5,4.5
505,43,18,Floyd,Indiana,4.0,4.0
506,51,18,Gibson,Indiana,1.0,1.0
507,53,18,Grant,Indiana,3.5,3.5
508,55,18,Greene,Indiana,2.0,2.0
509,57,18,Hamilton,Indiana,3.75,3.75
510,59,18,Hancock,Indiana,4.0,4.0
511,61,18,Harrison,Indiana,2.0,2.0
512,63,18,Hendricks,Indiana,5.0,5.0
513,65,18,Henry,Indiana,3.0,3.0
514,67,18,Howard,Indiana,5.0,5.0
515,69,18,Huntington,Indiana,2.0,2.0
516,71,18,Jackson,Indiana,6.0,6.0
517,73,18,Jasper,Indiana,2.0,2.0
518,75,18,Jay,Indiana,2.0,2.0
519,77,18,Jefferson,Indiana,2.0,2.0
520,79,18,Jennings,Indiana,1.0,1.0
521,81,18,Johnson,Indiana,2.0,2.0
522,83,18,Knox,Indiana,4.0,4.0
523,85,18,Kosciusko,Indiana,3.0,3.0
524,87,18,LaGrange,Indiana,2.0,2.0
525,89,18,Lake,Indiana,6.333333333333332,6.333333333333333
526,91,18,LaPorte,Indiana,4.5,4.5
527,93,18,Lawrence,Indiana,2.5,2.5
528,95,18,Madison,Indiana,4.666666666666667,4.666666666666667
529,97,18,Marion,Indiana,16.444444444444443,16.444444444444443
530,99,18,Marshall,Indiana,1.5,1.5
531,103,18,Miami,Indiana,2.0,2.0
532,105,18,Monroe,Indiana,7.5,7.5
533,107,18,Montgomery,Indiana,2.0,2.0
534,109,18,Morgan,Indiana,3.0,3.0
535,113,18,Noble,Indiana,2.0,2.0
536,123,18,Perry,Indiana,2.0,2.0
537,127,18,Porter,Indiana,11.0,11.0
538,133,18,Putnam,Indiana,2.0,2.0
539,135,18,Randolph,Indiana,2.0,2.0
540,137,18,Ripley,Indiana,3.0,3.0
541,139,18,Rush,Indiana,1.0,1.0
